HTS Number,Country,date,landed_duty_paid,customs_value,charges_ins_freight,calculated_duties,kg_total,qty_first_number,qty_second_kilograms,usd_per_kg_landed,usd_per_kg_customs,freight_share,effective_duty_rate,commodity,kg_per_piece,implausible_unit,low_volume,reliable
848210,India,2023-03-01,1129274,993704,46821,88749,56230.0,402226.0,56230.0,20.083122888138004,17.672132313711543,0.04146115114666591,0.08931130396979382,8482.10 - rolamentos de esferas,0.13979702953066186,False,False,True
848210,India,2023-04-01,1113439,998189,27425,87825,46989.0,234679.0,46989.0,23.6957373002192,21.24303560407755,0.024630895810188076,0.08798433963908639,8482.10 - rolamentos de esferas,0.20022669263121115,False,False,True
848210,India,2023-05-01,1004858,899397,24742,80719,41223.0,356434.0,41223.0,24.37614923707639,21.81784440724838,0.02462238445631124,0.08974790887672518,8482.10 - rolamentos de esferas,0.11565394995988038,False,False,True
848210,India,2023-06-01,1313105,1180023,27218,105864,68855.0,217999.0,68855.0,19.070583109432867,17.137796819403093,0.020727969202767486,0.08971350558421319,8482.10 - rolamentos de esferas,0.3158500727067555,False,False,True
848210,India,2023-07-01,1045073,937744,23704,83625,55302.0,310845.0,55302.0,18.897562475136525,16.95678275650067,0.022681669127419805,0.08917679025405655,8482.10 - rolamentos de esferas,0.17790860396660715,False,False,True
848210,India,2023-08-01,1266576,1144390,19795,102391,41661.0,330650.0,41661.0,30.40195866637863,27.469095797028395,0.015628750268440267,0.08947212051835475,8482.10 - rolamentos de esferas,0.12599727808861333,False,False,True
848210,India,2023-09-01,1598728,1434854,34889,128985,76399.0,242302.0,76399.0,20.92603306325999,18.78105734368251,0.021822974264540308,0.08989416344798844,8482.10 - rolamentos de esferas,0.3153048674794265,False,False,True
848210,India,2023-10-01,653197,578456,22683,52058,29635.0,193150.0,29635.0,22.041403745571117,19.519352117428717,0.03472612397178799,0.0899947446305337,8482.10 - rolamentos de esferas,0.15342997670204503,False,False,True
848210,India,2023-11-01,831549,741855,23184,66510,48528.0,184125.0,48528.0,17.135447576656777,15.287153808110782,0.02788049772172175,0.08965363851426492,8482.10 - rolamentos de esferas,0.2635600814663951,False,False,True
848210,India,2023-12-01,663474,586635,24773,52066,25897.0,100108.0,25897.0,25.61972429238908,22.652623856045103,0.03733831318182777,0.08875365431656822,8482.10 - rolamentos de esferas,0.25869061413673233,False,False,True
848210,India,2024-01-01,907974,811279,27987,68708,50000.0,224879.0,50000.0,18.15948,16.22558,0.030823569837902846,0.08469096328143585,8482.10 - rolamentos de esferas,0.22234179269740617,False,False,True
848210,India,2024-02-01,1107349,981754,37788,87807,67769.0,209104.0,67769.0,16.340052236273223,14.486771237586508,0.034124742967212685,0.08943890220971852,8482.10 - rolamentos de esferas,0.3240923176983702,False,False,True
848210,India,2024-03-01,1040147,900254,60327,79566,50624.0,440564.0,50624.0,20.546519437420987,17.78314633375474,0.05799853289967668,0.08838172338029045,8482.10 - rolamentos de esferas,0.11490725524554889,False,False,True
848210,India,2024-04-01,1025516,911126,36050,78340,57791.0,241062.0,57791.0,17.745254451385165,15.765880500423942,0.03515303515498539,0.08598152176537603,8482.10 - rolamentos de esferas,0.23973500593208386,False,False,True
